reg;cl_age90;jour;hosp;rea;rad;dc
94;49;2020-03-18;0;0;0;0
94;59;2020-03-18;0;0;0;0
94;69;2020-03-18;0;0;0;0
94;79;2020-03-18;0;0;0;0
94;89;2020-03-18;0;0;0;0
94;90;2020-03-18;0;0;0;0
01;0;2020-03-19;0;0;0;0
01;09;2020-03-19;0;0;0;0
01;19;2020-03-19;0;0;0;0
01;29;2020-03-19;0;0;0;0
01;39;2020-03-19;0;0;0;0
01;49;2020-03-19;0;0;0;0
01;59;2020-03-19;0;0;0;0
01;69;2020-03-19;0;0;0;0
01;79;2020-03-19;0;0;0;0
01;89;2020-03-19;0;0;0;0
01;90;2020-03-19;0;0;0;0
02;0;2020-03-19;17;5;0;1
02;09;2020-03-19;0;0;0;0
02;19;2020-03-19;0;0;0;0
02;29;2020-03-19;2;1;0;0
02;39;2020-03-19;2;0;0;0
02;49;2020-03-19;3;1;0;0
02;59;2020-03-19;5;0;0;0
02;69;2020-03-19;4;3;0;0
02;79;2020-03-19;1;0;0;0
02;89;2020-03-19;0;0;0;1
02;90;2020-03-19;0;0;0;0
03;0;2020-03-19;0;0;0;0
03;09;2020-03-19;0;0;0;0
03;19;2020-03-19;0;0;0;0
03;29;2020-03-19;0;0;0;0
03;39;2020-03-19;0;0;0;0
03;49;2020-03-19;0;0;0;0
03;59;2020-03-19;0;0;0;0
03;69;2020-03-19;0;0;0;0
03;79;2020-03-19;0;0;0;0
03;89;2020-03-19;0;0;0;0
03;90;2020-03-19;0;0;0;0
04;0;2020-03-19;2;2;0;0
04;09;2020-03-19;0;0;0;0
04;19;2020-03-19;0;0;0;0
04;29;2020-03-19;0;0;0;0
04;39;2020-03-19;0;0;0;0
04;49;2020-03-19;0;0;0;0
04;59;2020-03-19;0;0;0;0
04;69;2020-03-19;0;0;0;0
04;79;2020-03-19;1;1;0;0
04;89;2020-03-19;1;1;0;0
04;90;2020-03-19;0;0;0;0
06;0;2020-03-19;0;0;0;0
06;09;2020-03-19;0;0;0;0
06;19;2020-03-19;0;0;0;0
06;29;2020-03-19;0;0;0;0
06;39;2020-03-19;0;0;0;0
06;49;2020-03-19;0;0;0;0
06;59;2020-03-19;0;0;0;0
06;69;2020-03-19;0;0;0;0
06;79;2020-03-19;0;0;0;0
06;89;2020-03-19;0;0;0;0
06;90;2020-03-19;0;0;0;0
11;0;2020-03-19;1482;410;251;73
11;09;2020-03-19;6;2;5;0
11;19;2020-03-19;5;2;2;0
11;29;2020-03-19;22;4;27;0
11;39;2020-03-19;80;22;33;0
11;49;2020-03-19;144;42;24;4
11;59;2020-03-19;249;98;57;2
11;69;2020-03-19;283;93;41;8
11;79;2020-03-19;301;92;30;19
11;89;2020-03-19;251;46;22;30
11;90;2020-03-19;102;3;7;6
24;0;2020-03-19;37;11;3;1
24;09;2020-03-19;0;0;0;0
24;19;2020-03-19;0;0;0;0
24;29;2020-03-19;1;0;0;0
24;39;2020-03-19;0;0;0;0
24;49;2020-03-19;1;0;1;0
24;59;2020-03-19;2;1;2;0
24;69;2020-03-19;10;3;0;0
24;79;2020-03-19;10;5;0;1
24;89;2020-03-19;10;2;0;0
24;90;2020-03-19;3;0;0;0
27;0;2020-03-19;217;63;55;19
27;09;2020-03-19;0;0;0;0
27;19;2020-03-19;0;0;1;0
27;29;2020-03-19;1;1;6;0
27;39;2020-03-19;5;1;5;0
27;49;2020-03-19;13;2;4;0
27;59;2020-03-19;25;11;12;1
27;69;2020-03-19;46;21;2;1
27;79;2020-03-19;50;17;5;5
27;89;2020-03-19;56;10;13;9
27;90;2020-03-19;21;0;6;3
28;0;2020-03-19;54;11;11;5
28;09;2020-03-19;0;0;0;0
28;19;2020-03-19;0;0;0;0
28;29;2020-03-19;1;0;0;0
28;39;2020-03-19;1;0;0;0
28;49;2020-03-19;2;0;2;0
28;59;2020-03-19;5;1;3;0
28;69;2020-03-19;11;5;4;1
28;79;2020-03-19;17;3;1;1
28;89;2020-03-19;13;2;1;2
28;90;2020-03-19;4;0;0;1
32;0;2020-03-19;417;116;140;46
32;09;2020-03-19;12;0;14;0
32;19;2020-03-19;5;1;3;0
32;29;2020-03-19;13;2;10;0
32;39;2020-03-19;14;4;25;0
32;49;2020-03-19;25;4;21;0
32;59;2020-03-19;45;20;22;0
32;69;2020-03-19;70;31;11;6
32;79;2020-03-19;91;45;17;14
32;89;2020-03-19;102;8;12;21
32;90;2020-03-19;38;0;2;5
44;0;2020-03-19;1196;259;221;158
44;09;2020-03-19;7;0;33;0
44;19;2020-03-19;2;2;3;0
44;29;2020-03-19;11;1;11;1
44;39;2020-03-19;27;9;14;0
44;49;2020-03-19;53;19;18;2
44;59;2020-03-19;131;47;34;4
44;69;2020-03-19;245;84;31;13
44;79;2020-03-19;285;72;34;28
44;89;2020-03-19;287;20;26;74
44;90;2020-03-19;101;0;9;34
52;0;2020-03-19;66;14;54;1
52;09;2020-03-19;0;0;0;0
52;19;2020-03-19;0;0;0;0
52;29;2020-03-19;1;0;7;0
52;39;2020-03-19;1;0;3;0
52;49;2020-03-19;4;1;14;0
52;59;2020-03-19;6;2;10;0
52;69;2020-03-19;14;4;12;0
52;79;2020-03-19;18;4;5;0
52;89;2020-03-19;14;3;3;0
52;90;2020-03-19;7;0;0;1
53;0;2020-03-19;83;25;52;10
53;09;2020-03-19;0;0;2;0
53;19;2020-03-19;0;0;0;0
53;29;2020-03-19;0;0;3;0
53;39;2020-03-19;5;2;3;0
53;49;2020-03-19;2;0;1;0
53;59;2020-03-19;9;4;10;0
53;69;2020-03-19;13;0;13;1
53;79;2020-03-19;23;12;15;0
53;89;2020-03-19;27;7;4;5
53;90;2020-03-19;3;0;1;4
75;0;2020-03-19;59;12;21;3
75;09;2020-03-19;0;0;0;0
75;19;2020-03-19;0;0;1;0
75;29;2020-03-19;2;1;3;0
75;39;2020-03-19;3;0;3;0
75;49;2020-03-19;3;1;0;0
75;59;2020-03-19;7;2;4;1
75;69;2020-03-19;11;3;5;0
75;79;2020-03-19;11;3;3;0
75;89;2020-03-19;16;2;0;1
75;90;2020-03-19;5;0;1;1
76;0;2020-03-19;145;59;68;17
76;09;2020-03-19;1;0;7;0
76;19;2020-03-19;0;0;4;0
76;29;2020-03-19;2;0;5;1
76;39;2020-03-19;4;0;9;0
76;49;2020-03-19;7;4;7;0
76;59;2020-03-19;17;8;17;1
76;69;2020-03-19;34;18;4;1
76;79;2020-03-19;50;22;13;4
76;89;2020-03-19;23;6;2;9
76;90;2020-03-19;5;1;0;1
84;0;2020-03-19;408;74;145;28
84;09;2020-03-19;2;1;1;0
84;19;2020-03-19;0;0;2;0
84;29;2020-03-19;3;0;11;0
84;39;2020-03-19;11;0;17;1
84;49;2020-03-19;16;2;14;0
84;59;2020-03-19;32;11;23;1
84;69;2020-03-19;55;19;24;1
84;79;2020-03-19;109;32;33;5
84;89;2020-03-19;119;7;12;12
84;90;2020-03-19;54;0;8;8
93;0;2020-03-19;224;47;261;9
93;09;2020-03-19;1;0;5;0
93;19;2020-03-19;4;0;17;0
93;29;2020-03-19;4;1;38;0
93;39;2020-03-19;17;0;28;0
93;49;2020-03-19;26;4;50;0
93;59;2020-03-19;43;8;51;0
93;69;2020-03-19;48;9;35;1
93;79;2020-03-19;47;19;24;1
93;89;2020-03-19;25;5;12;6
93;90;2020-03-19;9;1;1;1
94;0;2020-03-19;54;14;10;1
94;09;2020-03-19;0;0;0;0
94;19;2020-03-19;0;0;0;0
94;29;2020-03-19;0;0;0;0
94;39;2020-03-19;1;0;1;0
94;49;2020-03-19;2;0;3;0
94;59;2020-03-19;4;3;1;0
94;69;2020-03-19;11;5;1;0
94;79;2020-03-19;17;4;1;0
94;89;2020-03-19;15;1;1;0
94;90;2020-03-19;3;0;1;1
01;0;2020-03-20;0;0;0;0
01;09;2020-03-20;0;0;0;0
01;19;2020-03-20;0;0;0;0
01;29;2020-03-20;0;0;0;0
01;39;2020-03-20;0;0;0;0
01;49;2020-03-20;0;0;0;0
01;59;2020-03-20;0;0;0;0
01;69;2020-03-20;0;0;0;0
01;79;2020-03-20;0;0;0;0
01;89;2020-03-20;0;0;0;0
01;90;2020-03-20;0;0;0;0
02;0;2020-03-20;19;5;0;1
02;09;2020-03-20;0;0;0;0
02;19;2020-03-20;0;0;0;0
02;29;2020-03-20;2;1;0;0
02;39;2020-03-20;3;0;0;0
02;49;2020-03-20;3;1;0;0
02;59;2020-03-20;6;0;0;0
02;69;2020-03-20;4;3;0;0
02;79;2020-03-20;1;0;0;0
02;89;2020-03-20;0;0;0;1
02;90;2020-03-20;0;0;0;0
03;0;2020-03-20;0;0;0;0
03;09;2020-03-20;0;0;0;0
03;19;2020-03-20;0;0;0;0
03;29;2020-03-20;0;0;0;0
03;39;2020-03-20;0;0;0;0
03;49;2020-03-20;0;0;0;0
03;59;2020-03-20;0;0;0;0
03;69;2020-03-20;0;0;0;0
03;79;2020-03-20;0;0;0;0
03;89;2020-03-20;0;0;0;0
03;90;2020-03-20;0;0;0;0
04;0;2020-03-20;2;2;0;0
04;09;2020-03-20;0;0;0;0
04;19;2020-03-20;0;0;0;0
04;29;2020-03-20;0;0;0;0
04;39;2020-03-20;0;0;0;0
04;49;2020-03-20;0;0;0;0
04;59;2020-03-20;0;0;0;0
04;69;2020-03-20;0;0;0;0
04;79;2020-03-20;1;1;0;0
04;89;2020-03-20;1;1;0;0
04;90;2020-03-20;0;0;0;0
06;0;2020-03-20;0;0;0;0
06;09;2020-03-20;0;0;0;0
06;19;2020-03-20;0;0;0;0
06;29;2020-03-20;0;0;0;0
06;39;2020-03-20;0;0;0;0
06;49;2020-03-20;0;0;0;0
06;59;2020-03-20;0;0;0;0
06;69;2020-03-20;0;0;0;0
06;79;2020-03-20;0;0;0;0
06;89;2020-03-20;0;0;0;0
06;90;2020-03-20;0;0;0;0
11;0;2020-03-20;1785;484;350;99
11;09;2020-03-20;9;2;6;0
11;19;2020-03-20;7;2;2;0
11;29;2020-03-20;27;6;31;0
11;39;2020-03-20;100;29;49;0
11;49;2020-03-20;170;48;35;4
11;59;2020-03-20;304;121;72;3
11;69;2020-03-20;340;117;58;11
11;79;2020-03-20;359;104;47;27
11;89;2020-03-20;297;46;38;41
11;90;2020-03-20;130;3;9;9
24;0;2020-03-20;58;13;2;2
24;09;2020-03-20;0;0;0;0
24;19;2020-03-20;0;0;0;0
24;29;2020-03-20;1;0;0;0
24;39;2020-03-20;1;0;0;0
24;49;2020-03-20;2;0;0;0
24;59;2020-03-20;5;2;2;0
24;69;2020-03-20;16;4;0;0
24;79;2020-03-20;16;6;0;1
24;89;2020-03-20;11;1;0;1
24;90;2020-03-20;6;0;0;0
27;0;2020-03-20;270;71;68;22
27;09;2020-03-20;0;0;0;0
27;19;2020-03-20;0;0;1;0
27;29;2020-03-20;2;1;8;0
27;39;2020-03-20;6;1;6;0
27;49;2020-03-20;13;3;6;0
27;59;2020-03-20;30;12;13;1
27;69;2020-03-20;61;22;4;1
27;79;2020-03-20;60;19;8;7
27;89;2020-03-20;69;13;14;10
27;90;2020-03-20;29;0;7;3
28;0;2020-03-20;71;13;14;7
28;09;2020-03-20;0;0;0;0
28;19;2020-03-20;0;0;0;0
28;29;2020-03-20;1;0;2;0
28;39;2020-03-20;2;1;0;0
28;49;2020-03-20;4;0;2;0
28;59;2020-03-20;8;1;4;0
28;69;2020-03-20;13;6;4;1
28;79;2020-03-20;21;3;1;1
28;89;2020-03-20;17;2;1;4
28;90;2020-03-20;5;0;0;1
32;0;2020-03-20;432;136;156;51
32;09;2020-03-20;7;0;19;0
32;19;2020-03-20;4;1;5;0
32;29;2020-03-20;15;1;11;0
32;39;2020-03-20;19;7;26;0
32;49;2020-03-20;28;6;25;0
32;59;2020-03-20;48;23;23;0
32;69;2020-03-20;78;42;10;7
32;79;2020-03-20;97;45;14;17
32;89;2020-03-20;103;10;13;23
32;90;2020-03-20;32;0;7;4
44;0;2020-03-20;1364;294;284;183
44;09;2020-03-20;7;0;40;0
44;19;2020-03-20;1;1;5;0
44;29;2020-03-20;13;1;15;0
44;39;2020-03-20;34;10;16;0
44;49;2020-03-20;67;23;21;2
44;59;2020-03-20;146;50;44;5
44;69;2020-03-20;279;93;40;14
44;79;2020-03-20;339;91;42;33
44;89;2020-03-20;309;19;34;87
44;90;2020-03-20;111;0;13;40
52;0;2020-03-20;73;17;62;1
52;09;2020-03-20;0;0;0;0
52;19;2020-03-20;0;0;0;0
52;29;2020-03-20;0;0;8;0
52;39;2020-03-20;0;0;4;0
52;49;2020-03-20;4;1;15;0
52;59;2020-03-20;8;2;11;0
52;69;2020-03-20;16;5;15;0
52;79;2020-03-20;21;6;5;0
52;89;2020-03-20;15;3;4;0
52;90;2020-03-20;8;0;0;1
53;0;2020-03-20;94;25;55;12
53;09;2020-03-20;0;0;2;0
53;19;2020-03-20;0;0;0;0
53;29;2020-03-20;1;0;3;0
53;39;2020-03-20;4;2;4;0
53;49;2020-03-20;2;0;1;0
53;59;2020-03-20;10;4;10;0
53;69;2020-03-20;15;0;14;1
53;79;2020-03-20;24;12;16;1
53;89;2020-03-20;30;7;4;6
53;90;2020-03-20;7;0;1;4
75;0;2020-03-20;65;15;31;4
75;09;2020-03-20;0;0;0;0
75;19;2020-03-20;0;0;1;0
75;29;2020-03-20;3;1;4;0
75;39;2020-03-20;1;0;7;0
75;49;2020-03-20;3;1;2;0
75;59;2020-03-20;8;2;4;1
75;69;2020-03-20;11;4;7;1
75;79;2020-03-20;12;5;4;0
75;89;2020-03-20;21;2;0;1
75;90;2020-03-20;5;0;1;1
76;0;2020-03-20;183;66;73;21
76;09;2020-03-20;1;0;7;0
76;19;2020-03-20;0;0;4;0
76;29;2020-03-20;3;0;5;1
76;39;2020-03-20;4;1;9;0
76;49;2020-03-20;13;6;7;0
76;59;2020-03-20;21;9;18;1
76;69;2020-03-20;49;20;4;0
76;79;2020-03-20;56;24;16;5
76;89;2020-03-20;28;5;2;12
76;90;2020-03-20;7;1;0;2
84;0;2020-03-20;463;87;179;33
84;09;2020-03-20;2;1;1;0
84;19;2020-03-20;0;0;2;0
84;29;2020-03-20;2;0;12;0
84;39;2020-03-20;13;2;19;1
84;49;2020-03-20;19;3;18;0
84;59;2020-03-20;39;13;27;1
84;69;2020-03-20;66;21;29;1
84;79;2020-03-20;120;36;41;7
84;89;2020-03-20;135;9;20;14
84;90;2020-03-20;58;0;8;9
93;0;2020-03-20;281;55;280;11
93;09;2020-03-20;2;0;5;0
93;19;2020-03-20;5;0;17;0
93;29;2020-03-20;6;1;41;0
93;39;2020-03-20;23;0;32;0
93;49;2020-03-20;37;5;53;0
93;59;2020-03-20;50;7;55;0
93;69;2020-03-20;62;13;37;1
93;79;2020-03-20;51;21;26;2
93;89;2020-03-20;32;7;13;7
93;90;2020-03-20;13;1;1;1
94;0;2020-03-20;66;14;33;3
94;09;2020-03-20;2;0;0;0
94;19;2020-03-20;0;0;1;0
94;29;2020-03-20;2;0;6;0
94;39;2020-03-20;1;0;6;0
94;49;2020-03-20;2;0;7;0
94;59;2020-03-20;10;3;5;0
94;69;2020-03-20;12;5;5;1
94;79;2020-03-20;17;4;1;1
94;89;2020-03-20;16;1;1;0
94;90;2020-03-20;3;0;1;1
01;0;2020-03-21;0;0;0;0
01;09;2020-03-21;0;0;0;0
01;19;2020-03-21;0;0;0;0
01;29;2020-03-21;0;0;0;0
01;39;2020-03-21;0;0;0;0
01;49;2020-03-21;0;0;0;0
01;59;2020-03-21;0;0;0;0
01;69;2020-03-21;0;0;0;0
01;79;2020-03-21;0;0;0;0
01;89;2020-03-21;0;0;0;0
01;90;2020-03-21;0;0;0;0
02;0;2020-03-21;19;5;0;1
02;09;2020-03-21;0;0;0;0
02;19;2020-03-21;0;0;0;0
02;29;2020-03-21;2;1;0;0
02;39;2020-03-21;3;0;0;0
02;49;2020-03-21;3;1;0;0
02;59;2020-03-21;6;0;0;0
02;69;2020-03-21;4;3;0;0
02;79;2020-03-21;1;0;0;0
02;89;2020-03-21;0;0;0;1
02;90;2020-03-21;0;0;0;0
03;0;2020-03-21;0;0;0;0
03;09;2020-03-21;0;0;0;0
03;19;2020-03-21;0;0;0;0
03;29;2020-03-21;0;0;0;0
03;39;2020-03-21;0;0;0;0
03;49;2020-03-21;0;0;0;0
03;59;2020-03-21;0;0;0;0
03;69;2020-03-21;0;0;0;0
03;79;2020-03-21;0;0;0;0
03;89;2020-03-21;0;0;0;0
03;90;2020-03-21;0;0;0;0
04;0;2020-03-21;2;2;0;0
04;09;2020-03-21;0;0;0;0
04;19;2020-03-21;0;0;0;0
04;29;2020-03-21;0;0;0;0
04;39;2020-03-21;0;0;0;0
04;49;2020-03-21;0;0;0;0
04;59;2020-03-21;0;0;0;0
04;69;2020-03-21;0;0;0;0
04;79;2020-03-21;1;1;0;0
04;89;2020-03-21;1;1;0;0
04;90;2020-03-21;0;0;0;0
06;0;2020-03-21;0;0;0;0
06;09;2020-03-21;0;0;0;0
06;19;2020-03-21;0;0;0;0
06;29;2020-03-21;0;0;0;0
06;39;2020-03-21;0;0;0;0
06;49;2020-03-21;0;0;0;0
06;59;2020-03-21;0;0;0;0
06;69;2020-03-21;0;0;0;0
06;79;2020-03-21;0;0;0;0
06;89;2020-03-21;0;0;0;0
06;90;2020-03-21;0;0;0;0
11;0;2020-03-21;2178;567;457;126
11;09;2020-03-21;11;3;8;0
11;19;2020-03-21;7;2;3;0
11;29;2020-03-21;29;7;36;0
11;39;2020-03-21;120;33;68;0
11;49;2020-03-21;197;60;50;4
11;59;2020-03-21;374;141;91;5
11;69;2020-03-21;412;132;76;16
11;79;2020-03-21;440;128;63;33
11;89;2020-03-21;382;53;47;51
11;90;2020-03-21;162;3;11;13
24;0;2020-03-21;64;15;6;3
24;09;2020-03-21;0;0;0;0
24;19;2020-03-21;1;0;0;0
24;29;2020-03-21;1;0;0;0
24;39;2020-03-21;1;0;1;0
24;49;2020-03-21;3;1;0;0
24;59;2020-03-21;7;2;2;0
24;69;2020-03-21;14;4;1;0
24;79;2020-03-21;18;7;2;1
24;89;2020-03-21;12;1;0;2
24;90;2020-03-21;7;0;0;0
27;0;2020-03-21;297;82;104;35
27;09;2020-03-21;1;0;0;0
27;19;2020-03-21;0;0;1;0
27;29;2020-03-21;3;1;10;0
27;39;2020-03-21;8;2;9;0
27;49;2020-03-21;14;4;12;0
27;59;2020-03-21;35;14;21;2
27;69;2020-03-21;66;25;9;1
27;79;2020-03-21;70;21;15;11
27;89;2020-03-21;72;14;15;15
27;90;2020-03-21;27;0;11;6
28;0;2020-03-21;100;22;15;6
28;09;2020-03-21;0;0;0;0
28;19;2020-03-21;0;0;0;0
28;29;2020-03-21;1;0;2;0
28;39;2020-03-21;3;1;0;0
28;49;2020-03-21;7;1;1;0
28;59;2020-03-21;10;1;5;0
28;69;2020-03-21;18;10;5;1
28;79;2020-03-21;29;6;1;1
28;89;2020-03-21;24;3;1;3
28;90;2020-03-21;8;0;0;1
32;0;2020-03-21;439;147;162;58
32;09;2020-03-21;1;0;13;0
32;19;2020-03-21;3;0;1;0
32;29;2020-03-21;9;2;13;0
32;39;2020-03-21;14;7;27;0
32;49;2020-03-21;22;8;27;0
32;59;2020-03-21;50;25;28;0
32;69;2020-03-21;83;43;11;7
32;79;2020-03-21;112;50;18;18
32;89;2020-03-21;112;11;14;29
32;90;2020-03-21;32;0;9;4
44;0;2020-03-21;1556;349;355;227
44;09;2020-03-21;10;0;44;0
44;19;2020-03-21;2;1;5;0
44;29;2020-03-21;16;3;16;0
44;39;2020-03-21;35;11;23;0
44;49;2020-03-21;79;26;24;2
44;59;2020-03-21;166;50;54;6
44;69;2020-03-21;327;111;49;18
44;79;2020-03-21;399;117;58;47
44;89;2020-03-21;342;21;48;100
44;90;2020-03-21;124;0;18;50
52;0;2020-03-21;88;23;63;3
52;09;2020-03-21;0;0;0;0
52;19;2020-03-21;0;0;0;0
52;29;2020-03-21;1;0;7;0
52;39;2020-03-21;1;0;4;0
52;49;2020-03-21;5;1;14;0
52;59;2020-03-21;11;3;11;0
52;69;2020-03-21;19;7;15;0
52;79;2020-03-21;26;7;6;0
52;89;2020-03-21;16;4;5;1
52;90;2020-03-21;8;0;1;2
53;0;2020-03-21;122;26;55;15
53;09;2020-03-21;0;0;2;0
53;19;2020-03-21;0;0;0;0
53;29;2020-03-21;2;0;3;0
53;39;2020-03-21;5;1;4;0
53;49;2020-03-21;3;0;1;0
53;59;2020-03-21;14;4;10;0
